episode,score,steps,total_reward,mean_score_50,eval_mean_score,eval_success_rate,wall_time_s
82,0,179,-0.8219999999999998,1.0,,,292.1
83,2,462,1.4609999999999732,1.04,,,292.4
84,3,483,2.481999999999971,1.06,,,292.7
85,0,184,-0.8169999999999998,1.02,,,292.8
86,2,462,1.4609999999999732,1.06,,,293.0
87,1,313,0.3119999999999896,1.06,,,293.2
88,1,328,0.32699999999998797,1.08,,,293.4
89,2,475,1.4739999999999718,1.1,,,293.7
90,0,179,-0.8219999999999998,1.1,,,293.8
91,2,446,1.444999999999975,1.12,,,294.0
92,1,313,0.3119999999999896,1.14,,,294.2
93,1,313,0.3119999999999896,1.16,,,294.4
94,0,194,-0.8069999999999998,1.14,,,294.5
95,1,313,0.3119999999999896,1.12,,,294.6
96,0,179,-0.8219999999999998,1.12,,,294.8
97,2,446,1.444999999999975,1.14,,,295.0
98,2,467,1.4659999999999727,1.18,,,295.3
99,2,446,1.444999999999975,1.22,,,295.5
100,0,179,-0.8219999999999998,1.16,0.45,0.3,315.4
101,0,179,-0.8219999999999998,1.1,,,315.5
102,1,348,0.34699999999998576,1.12,,,315.7
103,1,313,0.3119999999999896,1.1,,,315.8
104,1,317,0.3159999999999892,1.06,,,316.0
105,2,446,1.444999999999975,1.08,,,316.3
106,0,189,-0.8119999999999998,1.04,,,316.4
107,0,179,-0.8219999999999998,1.04,,,316.5
108,0,179,-0.8219999999999998,1.0,,,316.6
109,1,313,0.3119999999999896,1.0,,,316.8
110,2,446,1.444999999999975,1.04,,,317.0
111,2,446,1.444999999999975,1.06,,,317.3
112,2,446,1.444999999999975,1.06,,,317.5
113,0,179,-0.8219999999999998,1.02,,,317.6
114,3,50000,52.998999999967424,1.08,,,347.5
115,0,186,-0.8149999999999998,1.04,,,347.6
116,2,446,1.444999999999975,1.08,,,347.8
117,3,50000,52.998999999967424,1.14,,,375.6
118,3,50000,52.998999999967424,1.18,,,405.3
