synapse_scale,population,baseline_mean,baseline_std,stim_mean,stim_std,abs_change,pct_change,snr,motor_disc,bump_amp_mean,bump_amp_std,ring_stable,saturation
0.02,ER4d,0.0,0.0,0.9948254819495348,4.909917410892783e-08,0.9948254819495348,99482548194.95348,994825481.9495348,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.02,ER4m,0.0,0.0,0.9948244899922187,1.3605309788166348e-07,0.9948244899922187,99482448999.22186,994824489.9922186,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.02,ER4,0.0,0.0,0.9948251985331589,4.5587580920955624e-07,0.9948251985331589,99482519853.31587,994825198.5331588,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.02,EPG,0.0,0.0,0.9941135142062218,5.675900757242888e-05,0.9941135142062218,99411351420.62218,994113514.2062218,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.02,Delta7,0.0,0.0,0.6200680131688074,0.3396387766477154,0.6200680131688074,62006801316.88074,620068013.1688074,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.02,PEG,0.0,0.0,0.7911654791916288,0.343048600534582,0.7911654791916288,79116547919.16289,791165479.1916288,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.02,PEN_a,0.0,0.0,0.9929314265208848,0.0002154346355613216,0.9929314265208848,99293142652.08847,992931426.5208848,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.02,PEN_b,0.0,0.0,0.9918150608827045,0.0028201176681701785,0.9918150608827045,99181506088.27045,991815060.8827045,0.201765947329256,0.0688660917499078,0.08926050905789973,True,False
0.05,ER4d,0.0,0.0,0.9948256254004372,9.383760013886011e-11,0.9948256254004372,99482562540.04372,994825625.4004371,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.05,ER4m,0.0,0.0,0.9948256137202712,3.438500445802353e-09,0.9948256137202712,99482561372.02711,994825613.7202711,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.05,ER4,0.0,0.0,0.9948256220632467,5.588064844174558e-09,0.9948256220632467,99482562206.32466,994825622.0632466,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.05,EPG,0.0,0.0,0.994263633935013,8.949376953527405e-06,0.994263633935013,99426363393.5013,994263633.9350129,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.05,Delta7,0.0,0.0,0.6418514347725959,0.4121970762055728,0.6418514347725959,64185143477.25959,641851434.7725959,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.05,PEG,0.0,0.0,0.784724878724899,0.3857251530844571,0.784724878724899,78472487872.4899,784724878.724899,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.05,PEN_a,0.0,0.0,0.9935668949556724,5.675633236027961e-05,0.9935668949556724,99356689495.56725,993566894.9556724,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.05,PEN_b,0.0,0.0,0.9936534330004445,0.00013263597620787282,0.9936534330004445,99365343300.04443,993653433.0004444,0.20892855427554546,0.04913475334631839,0.06666969850808185,True,False
0.1,ER4d,0.0,0.0,0.9948256254853513,2.0966467023187498e-15,0.9948256254853513,99482562548.53513,994825625.4853512,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
0.1,ER4m,0.0,0.0,0.9948256254789063,3.687069558079931e-12,0.9948256254789063,99482562547.89062,994825625.4789063,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
0.1,ER4,0.0,0.0,0.99482562548351,3.515853352452375e-12,0.99482562548351,99482562548.35098,994825625.4835099,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
0.1,EPG,0.0,0.0,0.9942734371097817,2.726236880542177e-07,0.9942734371097817,99427343710.97816,994273437.1097816,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
0.1,Delta7,0.0,0.0,0.660392609740381,0.44816549850448406,0.660392609740381,66039260974.0381,660392609.740381,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
0.1,PEG,0.0,0.0,0.7805013352517368,0.3988042204128601,0.7805013352517368,78050133525.17368,780501335.2517368,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
0.1,PEN_a,0.0,0.0,0.9936644654515676,2.8832828776586866e-05,0.9936644654515676,99366446545.15675,993664465.4515675,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
0.1,PEN_b,0.0,0.0,0.993849870386794,0.00010889604181715057,0.993849870386794,99384987038.67938,993849870.3867939,0.21334853513505714,0.04458598505468948,0.06145700972906372,True,False
